%% given in Wang et al. 2013. corrected four site, based on Hawkes et al. 2011
% lat long subsidence subsidence std. 
49.15  -125.86 0.49 0.49    0
49.10  -125.85 0.62 0.62    0.29
49.10  -125.85 0.61 0.61    0.3
46.89  -123.99 1.00 1.00    0.5
46.61 -123.92 0.58  0.58    0.28
46.61 -123.92 0.7   1.1     0
45.70 -123.88 0.49  0.49    0.31
45.40 -123.94 0.26  0.26    0.28
45.18 -123.94 0.47  0.47     0.28
45.03 -123.98 0.6   0.6     0.29
45.90 -124.03 0.69  0.69    0.28
44.43 -124.03 0.20  0.20    0.28
43.98 -124.06 0.42  0.42    0.3
43.33 -124.32 0.67  0.67    0
43.15 -124.39 0.81  0.81    0 
42.83 -124.54 0.7   2.2     0 
40.87 -124.15 0     1.64    0 
